日期,城市,新建住宅环比,新建住宅同比,新建住宅定基,新建商品房环比,新建商品房同比,新建商品房定基,二手住宅环比,二手住宅同比,二手住宅定基
2021年01月01日,泉州,-,-,-,100.8,106,-,100.9,105,-
2021年01月01日,厦门,-,-,-,100.3,104.7,-,100.6,105.1,-
2021年01月01日,福州,-,-,-,100.6,105.4,-,100.8,103.4,-
2021年01月01日,西安,-,-,-,100.4,106.5,-,101,103.8,-
2021年01月01日,长春,-,-,-,100.4,102.7,-,99.6,98.9,-
2021年01月01日,上海,-,-,-,100.6,104.4,-,101.3,107.6,-
2021年01月01日,长沙,-,-,-,100.6,104.9,-,100.6,102,-
2021年01月01日,南昌,-,-,-,100.3,100.8,-,100.5,100.2,-
2021年01月01日,吉林,-,-,-,99.8,103,-,100.1,98.2,-
2021年01月01日,包头,-,-,-,100.2,102.6,-,100.2,101.8,-
2021年01月01日,呼和浩特,-,-,-,100.1,104.7,-,99.9,99.1,-
2021年01月01日,岳阳,-,-,-,99.7,101,-,99.8,100.9,-
2021年01月01日,桂林,-,-,-,99.9,100.3,-,100.5,102.6,-
2021年01月01日,济宁,-,-,-,100.7,108.8,-,100.6,105.4,-
2021年01月01日,常德,-,-,-,99.9,98.5,-,100,98.2,-
2021年01月01日,大理,-,-,-,99.6,100.4,-,100.2,102,-
2021年01月01日,沈阳,-,-,-,100.8,105.8,-,100,107.2,-
2021年01月01日,平顶山,-,-,-,100.2,103.3,-,100.3,103.4,-
2021年01月01日,湛江,-,-,-,100.2,101.1,-,99.9,98.1,-
2021年01月01日,武汉,-,-,-,100.7,104.6,-,100.5,101.1,-
2021年01月01日,太原,-,-,-,99.6,99.2,-,99.9,97.1,-
2021年01月01日,温州,-,-,-,100.4,104.3,-,100.5,105.8,-
2021年01月01日,丹东,-,-,-,100.1,106.2,-,100.3,104.6,-
2021年01月01日,北京,-,-,-,100.5,102.9,-,100.9,106.9,-
2021年01月01日,杭州,-,-,-,100.1,104.2,-,100.7,107.7,-
2021年01月01日,烟台,-,-,-,99.8,105,-,100.4,99.6,-
2021年01月01日,石家庄,-,-,-,100,102.9,-,100,97.9,-
2021年01月01日,北海,-,-,-,99.7,96.3,-,99.9,96.6,-
2021年01月01日,惠州,-,-,-,100.1,100,-,100.3,99.8,-
2021年01月01日,无锡,-,-,-,100,105.6,-,100.8,107.9,-
2021年01月01日,九江,-,-,-,100.3,103.2,-,100.7,102,-
2021年01月01日,青岛,-,-,-,100.2,102.9,-,99.9,97.9,-
2021年01月01日,锦州,-,-,-,100.5,106.4,-,99.6,99.4,-
2021年01月01日,安庆,-,-,-,100.2,98.6,-,99.9,98.4,-
2021年01月01日,南京,-,-,-,100.2,105,-,100.5,104.7,-
2021年01月01日,南充,-,-,-,99.7,99.4,-,99.7,94.4,-
2021年01月01日,韶关,-,-,-,100.3,107.1,-,100.7,103.9,-
2021年01月01日,襄樊,-,-,-,100.3,103.6,-,100,98.8,-
2021年01月01日,郑州,-,-,-,100.2,99.4,-,100.1,97,-
2021年01月01日,宜昌,-,-,-,99.9,102.9,-,99.7,99.3,-
2021年01月01日,海口,-,-,-,100.3,103.2,-,100.4,102.6,-
2021年01月01日,哈尔滨,-,-,-,99.5,99.9,-,99.8,96,-
2021年01月01日,济南,-,-,-,100.2,99.6,-,100.4,97.7,-
2021年01月01日,天津,-,-,-,100.3,101.5,-,100,96.6,-
2021年01月01日,合肥,-,-,-,100.9,104.3,-,100.6,105,-
2021年01月01日,成都,-,-,-,100.8,106.9,-,101,109.3,-
2021年01月01日,乌鲁木齐,-,-,-,100.5,103.4,-,100.3,106.1,-
2021年01月01日,洛阳,-,-,-,100.3,102.3,-,100.2,102.9,-
2021年01月01日,大连,-,-,-,100.1,104.7,-,100.3,106.5,-
2021年01月01日,金华,-,-,-,101.2,105.9,-,101.3,106.2,-
2021年01月01日,昆明,-,-,-,100.4,105.6,-,100.8,103.9,-
2021年01月01日,西宁,-,-,-,100.7,109,-,100.8,108.6,-
2021年01月01日,重庆,-,-,-,100.5,104.9,-,100.3,100.1,-
2021年01月01日,唐山,-,-,-,100,109.8,-,100.4,107.8,-
2021年01月01日,秦皇岛,-,-,-,99.7,103.1,-,99.9,103,-
2021年01月01日,深圳,-,-,-,100.3,103.7,-,101.7,115.3,-
2021年01月01日,泸州,-,-,-,99.4,99.4,-,100.1,97.3,-
